,Estratégia,Período,Ação Implementada
0,W1 (Leve 10.0%),1,Expansão: 1 mod. em 'River Bank Filtration'
1,W1 (Leve 10.0%),6,Expansão: 1 mod. em 'River Bank Filtration'
2,W1 (Leve 10.0%),11,Expansão: 1 mod. em 'River Bank Filtration'
3,W1 (Leve 10.0%),16,Expansão: 1 mod. em 'River Bank Filtration'
4,W1 (Leve 10.0%),21,Expansão: 1 mod. em 'River Bank Filtration'
5,W2 (Moderada 20.0%),1,Expansão: 1 mod. em 'River Bank Filtration'
6,W2 (Moderada 20.0%),3,Expansão: 1 mod. em 'River Bank Filtration'
7,W2 (Moderada 20.0%),6,Expansão: 1 mod. em 'River Bank Filtration'
8,W2 (Moderada 20.0%),8,Expansão: 1 mod. em 'River Bank Filtration'
9,W2 (Moderada 20.0%),11,Expansão: 1 mod. em 'River Bank Filtration'
10,W2 (Moderada 20.0%),13,Expansão: 1 mod. em 'River Bank Filtration'
11,W2 (Moderada 20.0%),16,Expansão: 1 mod. em 'River Bank Filtration'
12,W2 (Moderada 20.0%),18,Expansão: 1 mod. em 'River Bank Filtration'
13,W2 (Moderada 20.0%),21,Expansão: 1 mod. em 'BAS'
14,W2 (Moderada 20.0%),23,Expansão: 1 mod. em 'River Bank Filtration'
15,W3 (Elevada 30.0%),4,Expansão: 1 mod. em 'River Bank Filtration'
16,W3 (Elevada 30.0%),6,Expansão: 1 mod. em 'BAS'
17,W3 (Elevada 30.0%),7,Expansão: 1 mod. em 'River Bank Filtration'
18,W3 (Elevada 30.0%),9,Expansão: 1 mod. em 'River Bank Filtration'
19,W3 (Elevada 30.0%),10,Expansão: 1 mod. em 'River Bank Filtration'
20,W3 (Elevada 30.0%),12,Expansão: 1 mod. em 'River Bank Filtration'
21,W3 (Elevada 30.0%),14,Expansão: 1 mod. em 'River Bank Filtration'
22,W3 (Elevada 30.0%),15,Expansão: 1 mod. em 'River Bank Filtration'
23,W3 (Elevada 30.0%),17,Expansão: 1 mod. em 'River Bank Filtration'
24,W3 (Elevada 30.0%),19,Expansão: 1 mod. em 'BAS'
25,W3 (Elevada 30.0%),20,Expansão: 1 mod. em 'River Bank Filtration'
26,W3 (Elevada 30.0%),22,Expansão: 1 mod. em 'BAS'
27,W3 (Elevada 30.0%),23,Expansão: 1 mod. em 'BAS'
28,W3 (Elevada 30.0%),1,Upgrade p/ 37% de perdas
29,W3 (Elevada 30.0%),25,Implementar Barraginhas
